identifier,author,title,year_published,pre_1923,1923-1963_copyright_not_renewed,in_loebolus,notes,urls
L393,Pliny,Natural History VII: Books 24-27. Index of Plants,1966,false,"",true,"",http://www.archive.org/details/naturalhistory07plinuoft
L394,Pliny,Natural History IX: Books 33-35,1961,false,true,true,"",http://www.archive.org/details/naturalhistory09plinuoft
L395,Lycurgus,Minor Attic Orators II:  Lycurgus. Dinarchus. Demades. Hyperides,,,"",false,"",""
L396,Livy,Livy XIII: Books 43-45,1951,false,true,true,New title: History of Rome XIII: Books 43-45,http://www.archive.org/details/livywithenglisht13livyuoft
L397,Aristotle,Volume VII: Meteorologica,,,"",false,"",""
L398,Prudentius,Volume II: Against Symmachus 2. Crowns of Martyrdom. Scenes From History. Epilogue,,,"",false,"",""
L399,Diodorus Siculus,Library of History VI: Books 14-15.19,,,"",false,"",""
L400,Aristotle,On Sophistical Refutations. On Coming-to-be and Passing Away. On the Cosmos,1955,false,true,true,New title: Volume III: On Sophistical Refutations. On Coming-to-be and Passing Away. On the Cosmos,http://www.archive.org/details/onsophisticalref00arisuoft
L401,Philo,Volume Supplement II: Questions and Answers on Exodus,,,"",true,"",""
L402,Caesar,Volume III: Alexandrian War. African War. Spanish War,,,"",false,"",""
L403,Cicero,Volume I: Rhetorica ad Herennium,,,"",false,"",""
L404,Livy,History of Rome XIV: Summaries. Fragments. Julius Obsequens. General Index,,,"",false,"",""
L405,Plutarch,Moralia VII: On Love of Wealth. On Compliancy. On Envy and Hate. On Praising Oneself Inoffensively. On the Delays of the Divine Vengeance. On Fate. On the Sign of Socrates. On Exile. Consolation to His Wife,,,"",false,"",""
L406,Plutarch,Moralia XII: Concerning the Face Which Appears in the Orb of the Moon. On the Principle of Cold. Whether Fire or Water Is More Useful. Whether Land or Sea Animals Are Cleverer. Beasts Are Rational. On the Eating of Flesh,,,"",true,"",http://www.archive.org/details/moraliainfifteen12plutuoft
L407,Columella,On Agriculture II: Books 5-9,,,"",false,"",""
L408,Columella,On Agriculture III: Books 10-12. On Trees,,,"",false,"",""
L409,Diodorus Siculus,Library of History XI: Fragments of Books 21-32,,,"",false,"",""
L410,Josephus,Volume XI: Jewish Antiquities Books 16-17,,,"",false,"",""
L411,Augustine,City of God I: Books 1-3,,,"",false,"",""
L412,Augustine,City of God II: Books 4-7,,,"",false,"",""
L413,Augustine,City of God III: Books 8-11,,,"",false,"",""
L414,Augustine,City of God IV: Books 12-15,,,"",false,"",""
L415,Augustine,City of God V: Books 16-18.35,,,"",false,"",""
L416,Augustine,City of God VI: Books 18.36-20,,,"",false,"",""
L417,Augustine,City of God VII: Books 21-22,,,"",false,"",""
L418,Pliny,Natural History VIII: Books 28-32. Index of Fishes,,,"",true,"",""
L419,Pliny,Natural History X: Books 36-37,,,"",false,"",""
L420,Sidonius,"Volume II: Letters, Books 3-9",,,"",false,"",""
L421,Callimachus,"Volume I: Aetia, Iambi, Hecale and Other Fragments. Hero and Leander",,,"",false,"",""
L422,Diodorus Siculus,Library of History VIII: Books 16.66-17,,,"",false,"",""
L423,Diodorus Siculus,Library of History XII: Fragments of Books 33-40,,,"",false,"",""
L424,Plutarch,"Moralia VIII: Table-talk, Books 1-6",,,"",false,"",""
L425,Plutarch,"Moralia IX: Table-Talk, Books 7-9. Dialogue on Love",,,"",false,"",""
L426,Plutarch,Moralia XI: On the Malice of Herodotus. Causes of Natural Phenomena,,,"",false,"",""
L427,Plutarch,Moralia XIII Part 1: Platonic Essays,,,"",false,"",""
L428,Plutarch,"Moralia XIV: That Epicurus Actually Makes a Pleasant Life Impossible. Reply to Colotes in Defence of the Other Philosophers. Is ""Live Unknown"" a Wise Precept? On Music",,,"",false,"",""
L429,Plutarch,Moralia XV: Fragments,,,"",false,"",""
L430,Lucian,"Lucian VI: How to Write History. The Dipsads. Saturnalia. Herodotus or Aetion. Zeuxis or Antiochus. A Slip of the Tongue in Greeting. Apology for the ""Salaried Posts in Great Houses."" Harmonides. A Conversation with Hesiod…",1959,false,true,true,"New title: Volume VI: How to Write History. The Dipsads. Saturnalia. Herodotus or Aetion. Zeuxis or Antiochus. A Slip of the Tongue in Greeting. Apology for the ""Salaried Posts in Great Houses."" Harmonides. A Conversation with Hesiod…",http://www.archive.org/details/luciankilb06luciuoft
L431,Lucian,Lucian VII: Dialogues of the Dead. Dialogues of the Sea-Gods. Dialogues of the Gods. Dialogues of the Courtesans,1961,false,true,true,New title: Volume VII: Dialogues of the Dead. Dialogues of the Sea-Gods. Dialogues of the Gods. Dialogues of the Courtesans,http://www.archive.org/details/lucianmac07luciuoft
L432,Lucian,Volume VIII: Soloecista. Lucius or The Ass. Amores. Halcyon. Demosthenes. Podagra. Ocypus. Cyniscus. Philopatris. Charidemus. Nero,,,"",false,"",""
L433,Josephus,Volume XII: Jewish Antiquities Books 18-19,,,"",false,"",""
L434,Minor Latin Poets,Minor Latin Poets II: Florus. Hadrian. Nemesianus. Reposianus. Tiberianus. Dicta Catonis. Phoenix. Avianus. Rutilius Namatianus. Others,,,"",false,"",""
L435,Ptolemy,Tetrabiblos,,,"",false,"",""
L436,Babrius,Fables,,,"",false,"",""
L437,Aristotle,Volume IX: History of Animals Books 1-3,,,"",false,"",""
L438,Aristotle,Volume X: History of Animals Books 4-6,,,"",false,"",""
L439,Aristotle,Volume XI: History of Animals Books 7-10,,,"",false,"",""
L440,Plotinus,Volume I: Porphyry's Life of Plotinus. Ennead 1,,,"",false,"",""
L441,Plotinus,Volume II: Ennead 2,,,"",false,"",""
L442,Plotinus,Volume III: Ennead 3,,,"",false,"",""
L443,Plotinus,Volume IV: Ennead 4,,,"",false,"",""
L444,Plotinus,Volume V: Ennead 5,,,"",false,"",""
L445,Plotinus,Volume VI: Ennead 6.1-5,,,"",false,"",""
L446,Aelian,On the Characteristics of Animals I: Books 1-5,,,"",false,"",""
L447,Cicero,Volume XIII: Pro Caelio. De Provinciis Consularibus. Pro Balbo,,,"",false,"",""
L448,Aelian,On the Characteristics of Animals II: Books 6-11,,,"",false,"",""
L449,Aelian,On the Characteristics of Animals III: Books 12-17,,,"",false,"",""
L450,Seneca,"Volume VII: Naturales Quaestiones, Books 1-3",,,"",false,"",""
L451,Libanius,Selected Orations I: Julianic Orations,,,"",false,"",""
L452,Libanius,"Selected Orations II: Orations 2, 19-23, 30, 33, 45, 47-50",,,"",false,"",""
L453,Apuleius,Metamorphoses (The Golden Ass) II: Books 7-11,,,"",false,"",""
L454,Herodian,History of the Empire I: Books 1-4,,,"",false,"",""
L455,Herodian,History of the Empire II: Books 5-8,,,"",false,"",""
L456,Josephus,Volume XIII: Jewish Antiquities Book 20,,,"",false,"",""
L457,Seneca,"Volume X: Naturales Quaestiones, Books 4-7",,,"",false,"",""
L458N,Philostratus,Apollonius of Tyana III: Letters of Apollonius. Ancient Testimonia. Eusebius's Reply to Hierocles,,,"",false,"",""
L459,Menander,Volume II: Heros. Theophoroumene. Karchedonios. Kitharistes. Kolax. Koneiazomenai. Leukadia. Misoumenos. Perikeiromene. Perinthia,,,"",false,"",""
L460N,Menander,Volume III: Samia. Sikyonioi. Synaristosai. Phasma. Unidentified Fragments,,,"",false,"",""
L461,"","Greek Lyric IV: Bacchylides, Corinna, and Others",,,"",false,"",""
L462,Cicero,Volume XXVIII. Letters to His Brother Quintus; Letters to Brutus; Handbook of Electioneering; Letter to Octavian,,,"",false,"",""
L462N,Cicero,Volume XXVIII: Letters to Quintus and Brutus. Letter Fragments. Letter to Octavian. Invectives. Handbook of Electioneering,,,"",false,"",""
L463,Seneca the Elder,"Declamations I: Controversiae, Books 1-6",,,"",false,"",""
L464,Seneca the Elder,"Declamations II: Controversiae, Books 7-10. Suasoriae. Fragments",,,"",false,"",""
L465,Dionysius of Halicarnassus,Critical Essays I: Ancient Orators. Lysias. Isocrates. Isaeus. Demosthenes. Thucydides,,,"",false,"",""
L466,Dionysius of Halicarnassus,Critical Essays II: On Literary Composition. Dinarchus. Letters to Ammaeus and Pompeius,,,"",false,"",""
L467,Cornelius Nepos,On Great Generals. On Historians,,,"",false,"",""
L468,Plotinus,Volume VII: Ennead 6.6-9,,,"",false,"",""
L469,Manilius,Astronomica,,,"",false,"",""
L470,Plutarch,Moralia XIII Part 2: Stoic Essays,,,"",false,"",""
L471,Theophrastus,De Causis Plantarum I: Books 1-2,,,"",false,"",""
L472,Hippocrates,Volume V: Affections. Diseases 1. Diseases 2,,,"",false,"",""
L473,Hippocrates,Volume VI: Diseases 3. Internal Affections. Regimen in Acute Diseases,,,"",false,"",""
L474,Theophrastus,De Causis Plantarum II: Books 3-4,,,"",false,"",""
L475,Theophrastus,De Causis Plantarum III: Books 5-6,,,"",false,"",""
L476,"","Greek Lyric III: Stesichorus, Ibycus, Simonides, and Others",,,"",false,"",""
L477,Hippocrates,"Volume VII: Epidemics 2, 4-7",,,"",false,"",""
L478,Libanius,Autobiography and Selected Letters I: Autobiography. Letters 1-50,,,"",false,"",""
L479,Libanius,Autobiography and Selected Letters II: Letters 51-193,,,"",false,"",""
L480,Martial,Epigrams III: Books 11-14,,,"",false,"",""
L481,Chariton,Callirhoe,,,"",false,"",""
L482,Hippocrates,Volume VIII: Places in Man. Glands. Fleshes. Prorrhetic 1-2. Physician. Use of Liquids. Ulcers. Haemorrhoids and Fistulas,,,"",false,"",""
L483,Sophocles,Volume III: Fragments,,,"",false,"",""
L484,Euripides,Volume II: Children of Heracles. Hippolytus. Andromache. Hecuba,,,"",false,"",""
L485,Pindar,Volume II: Nemean Odes. Isthmian Odes. Fragments,,,"",false,"",""
L486,Aelian,Historical Miscellany,,,"",false,"",""
L487,Josephus,Volume III: The Jewish War Books 3-4,,,"",false,"",""
L488,Aristophanes,Volume II: Clouds. Wasps. Peace,,,"",false,"",""
L489,Josephus,Volume X: Jewish Antiquities Books 14-15,,,"",false,"",""
L490,Josephus,Volume VI: Jewish Antiquities Books 4-6,,,"",false,"",""
L491,Cicero,Volume XXIX: Letters to Atticus 282-426,,,"",false,"",""
L492,Valerius Maximus,Memorable Doings and Sayings I: Books 1-5,,,"",false,"",""
L493,Valerius Maximus,Memorable Doings and Sayings II: Books 6-9,,,"",false,"",""
L494N,Quintilian,Orator's Education V: Books 11-12,,,"",false,"",""
L495,Euripides,Volume VI: Bacchae. Iphigenia at Aulis. Rhesus,,,"",false,"",""
L496,"","Hesiod, the Homeric Hymns, and Homerica",1914,true,"",true,New title: Homeric Hymns. Homeric Apocrypha. Lives of Homer,http://www.archive.org/details/hesiodhomerichym00hesiuoft http://books.google.com/books?id=cotA1ZFPrTgC
L497,"",Greek Epic Fragments,,,"",false,"",""
L498,Statius,"Volume III: Thebaid, Books 8-12. Achilleid",,,"",false,"",""
L499,Plutarch,Moralia XVI: Index,,,"",false,"",""
L500,Quintilian,Lesser Declamations I,,,"",false,"",""
L501,Quintilian,Lesser Declamations II,,,"",false,"",""
