identifier,author,title,year_published,pre_1923,1923-1963_copyright_not_renewed,in_loebolus,notes,urls
L227,Philo,Volume II: On the Cherubim. The Sacrifices of Abel and Cain. The Worse Attacks the Better. On the Posterity and Exile of Cain. On the Giants,,,"",false,"",""
L228,Aristotle,Volume IV: The Physics Books 1-4,,,"",false,"",""
L229,Isocrates,Isocrates II: On the Peace. Areopagiticus. Against the Sophists. Antidosis. Panathenaicus,1929,false,true,true,New title: Volume II: On the Peace. Areopagiticus. Against the Sophists. Antidosis. Panathenaicus,http://www.archive.org/details/isocrateswitheng02isocuoft
L230N,Cicero,Letters to His Friends III: Books 13-16. To His Brother Quintus. To Brutus,1960,false,true,true,New title: Volume XXVII: Letters to Friends 281-435,http://www.archive.org/details/letterstohisfrie03ciceuoft
L231,Florus,Epitome of Roman History,,,"",false,"",""
L232,Ovid,Volume II: Art of Love. Cosmetics. Remedies for Love. Ibis. Walnut-tree. Sea Fishing. Consolation,,,"",false,"",""
L233,Livy,History of Rome V: Books 21-22,,,"",false,"",""
L234,Plato,Volume IX: Timaeus. Critias. Cleitophon. Menexenus. Epistles,,,"",false,"",""
L235,Athenaeus,The Deipnosophists IV: Books 8-10,,,"",false,"",""
L236,Arrian,"Anabasis Alexandri, Books 1-4",1967,false,"",true,"New title: Anabasis of Alexander, Books 1-4",http://www.archive.org/details/arrianar01arriuoft
L237,Plato,Republic I: Books 1-5,1937,false,true,true,"New title: Volume V: The Republic, Books 1-5",http://www.archive.org/details/republicshorey01platuoft
L238,Demosthenes,Volume I: Olynthiacs 1-3. Philippic 1. On the Peace. Philippic 2. On Halonnesus. On the Chersonese. Philippics 3 and 4. Answer to Philip's Letter. Philip's Letter. On Organization. On the Navy-boards. For the Liberty of the Rhodians…,,,"",false,"",""
L239,Augustine,Select Letters,1930,false,true,true,"",http://www.archive.org/details/selectletters00auguuoft
L240,Cicero,Volume VI: Pro Quinctio. Pro Roscio Amerino. Pro Roscio Comoedo. The Three Speeches on the Agrarian Law Against Rullus,,,"",false,"",""
L241,Strabo,Geography VII: Books 15-16,1930,false,true,true,"",http://www.archive.org/details/geographyofstrab07strauoft
L242,Josephus,Josephus IV: Jewish Antiquities Books 1-4,1961,false,true,true,New title: Volume V: Jewish Antiquities Books 1-3,http://www.archive.org/details/josephuswithengl04joseuoft
L243,Basil,Volume III: Letters 186-248,,,"",false,"",""
L244,Lysias,Lysias,1967,false,"",true,"",http://www.archive.org/details/lysiaslamb00lysiuoft
L245,Plutarch,Moralia III: Sayings of Kings and Commanders. Sayings of Romans. Sayings of Spartans. The Ancient Customs of the Spartans. Sayings of Spartan Women. Bravery of Women,,,"",true,"",http://www.archive.org/details/moraliainfifteen03plutuoft
L246,Bede,Opera Historica I: Books 1-3,1962,false,true,true,"New title: Ecclesiastical History, Books 1-3",http://www.archive.org/details/operahistorica01bedeuoft
L247,Philo,Volume III: On the Unchangeableness of God. On Husbandry. Concerning Noah's Work As a Planter. On Drunkenness. On Sobriet,,,"",true,"",""
L248,Bede,Opera Historica II: Books 4-5. Lives of the Abbots. Letter to Egbert,1930,false,true,true,"New title: Ecclesiastical History, Books 4-5. Lives of the Abbots. Letter to Egbert",http://www.archive.org/details/operahistoric02bedeuoft
L249,Tacitus,Histories II: 4-5. Annals 1-3,1962,false,true,true,New title: Volume III: Histories 4-5. Annals 1-3,http://www.archive.org/details/histories02taciuoft
L250,Tertullian,Apology and De Spectaculis. Octavius,1977,false,"",true,"",http://www.archive.org/details/apologydespectac00tertuoft
L251,Vitruvius,Vitruvius on Architecture I: Books 1-5,1931,false,"",false,New title: On Architecture I: Books 1-5,http://www.archive.org/details/vitruviusonarchi006859mbp
L252,Cicero,Volume XIV: Pro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro,,,"",false,"",""
L253,Ovid,Fasti,1959,false,true,true,New title: Volume V: Fasti,http://www.archive.org/details/ovidsfasti00oviduoft
L254,Seneca,Volume II: Moral Essays: De Consolatione ad Marciam. De Vita Beata. De Otio. De Tranquillitate Animi. De Brevitate Vitae. De Consolatione ad Polybium. De Consolatione ad Helviam,,,"",false,"",""
L255,Aristotle,Volume V: The Physics Books 5-8,,,"",false,"",""
L256,Philostratus the Elder,Imagines. Callistatus: Descriptions,1931,false,true,true,"New title: Philostratus the Elder, Imagines. Philostratus the Younger, Imagines. Callistratus, Descriptions",http://www.archive.org/details/imagines00philuoft
L257,Dio Chrysostom,Volume I: Discourses 1-11,,,"",false,"",""
L258N,Tyrtaeus,Greek Elegiac Poetry,,,"",false,"",""
L259N,"",Greek Iambic Poetry:  From the Seventh to the Fifth Centuries BC,,,"",false,"",""
